Name                               ,IMDb Rating ,Running Years                                                    ,Information
Breaking Bad                       ,9.4         ,2008–2013                                                        ,"The critically acclaimed AMC series “Breaking Bad” turned Walter White into an icon. The show also catapulted Bryan Cranston into cult status for his portrayal of the high-school-teacher-turned-meth-kingpin. Cranston won four Primetime Emmy Awards for the role. It’s considered one of the greatest TV shows of all time, having become the most-watched cable TV show on American television, and most critically acclaimed of all time."
The Wire                           ,9.3         ,2002–2008                                                        ,"Still cited as one of the greatest TV shows ever made, “The Wire” went off the air more than 10 years ago. The acclaimed HBO drama featured a black ensemble cast, helping to launch the careers of Michael B. Jordan, Idris Elba, and Michael K. Williams, and took a realistic look at Baltimore and its drug scene, police department, schools, and media. Following its run, the show was twice nominated at the Emmy Awards for Outstanding Writing for a Drama Series."
Avatar: The Last Airbender         ,9.3         ,2005–2008                                                        ,"Bryan Konietzko and Michael Dante DiMartino co-created this anime-inspired American animated show, with the backstory involving the “Avatar,” a person who can “bend” and manipulate all four main elements of air, water, fire, and earth. Aang is the current Avatar, found by Water Tribe siblings Katara and Sokka 100 years after Aang froze in an iceberg, leaving the world under siege by the Fire Nation. The show was followed up by “The Legend of Korra,” a show set 70 years later about the next Avatar. The beloved animation earned an Emmy nomination for Outstanding Animated Program (for programming less than one hour) in 2007."
Game of Thrones                    ,9.2         ,2011-2019                                                        ,"Based on George R.R. Martin’s beloved series of novels, “A Song of Ice and Fire,” this megahit HBO series essentially took on a life of its own. The award-winning medieval fantasy epic followed the deadly adventures of two powerful families as they battled for control of the Seven Kingdoms of Westeros. It frequently challenged “The Sopranos” in viewership ratings during its first four seasons. The show inspired licensed merchandise, games, replica armor, and boosted sales of the original novels. With a whopping 160 nominations, the show took home 56 Emmys."
Rick and Morty                     ,9.2         ,2013–present                                                     ,"Cartoon Network’s adult animated sci-fi comedy “Rick and Morty” follows the adventures of Rick Sanchez, a mad scientist, and his daughter (Sarah Chalke) and her children. It has received high marks from critics for its creativity, scientific accuracy, and general wackiness, and has a massive cult following. The cartoon series has since received two Emmy awards, including Outstanding Animated Program in 2020."
The Sopranos                       ,9.2         ,1999–2007                                                        ,"The late James Gandolfini led this megahit, award-winning HBO series as Tony Soprano, an Italian-American mobster who had to balance family life with organized crime. Edie Falco, Lorraine Bracco, and Jamie-Lynn Sigler co-starred in what some critics consider one of the most groundbreaking series ever made because of its effect on the industry in elevating the art form. With 112 Emmy nominations overall, “The Sopranos” took home 21 honors."
Sherlock                           ,9.1         ,2010–present                                                     ,"Benedict Cumberbatch stars as Sherlock Holmes in this popular series based on Sir Arthur Conan Doyle’s detective series of the same name. Produced as a co-production of BBC and WGBH in Boston for PBS Masterpiece, the show has received praise from critics and fans alike. Among the show's accolades include winning three Primetime Emmys, including Outstanding Lead Actor for Cumberbatch."
Firefly                            ,9           ,2002–2003                                                        ,"Joss Whedon’s short-lived but beloved futuristic space drama was canceled by Fox, but then became a fan favorite when it was released on DVD. The series featured an ensemble cast (led by Nathan Fillion) and won a Primetime Emmy for special effects. It also inspired comics and a role-playing game, as well as the 2005 film “Serenity.”"
Batman: The Animated Series        ,9           ,1992–1995                                                        ,"Bruce Timm co-developed “Batman: The Animated Series,” which became the first show in a larger animated universe that ended with “Justice League Unlimited.” The show focused on Bruce Wayne, voiced by Kevin Conroy, and his exploits as the Caped Crusader. It is the source of actor Mark Hamill’s most famous voice performance as the Joker. The animated series took home several Emmy Awards, including Outstanding Writing in an Animated Program in 1993."
The Twilight Zone                  ,9           ,"1959–1964, 1985–1989, 2002–2003, 2019–2020"                     ,"Rod Serling’s iconic, critically acclaimed “The Twilight Zone” series took on issues of prejudice, war, government, and morality. Blending fantasy, thriller, and science fiction, many of the themes and lessons from the memorable (albeit super creepy) storylines resonate today. While the original black-and-white, Serling-led series ran from 1959 to 1964, the first reboot arrived in 1985, followed by other revivals and a film version produced by Steven Spielberg in 1983. The show claimed three of the eight Emmy awards for which it was nominated."
True Detective                     ,8.9         ,2014–present                                                     ,"In this critically acclaimed anthology crime drama series, new cast ensembles take on challenging crime investigations each season. The first season, starring Matthew McConaughey and Woody Harrelson, was called one of the best drama series of the year, while other critics said it was one of the strongest in recent memory. Season two stars Colin Farrell, Vince Vaughn, Rachel McAdams, and Taylor Kitsch; Mahershala Ali served as lead in the third season, with Carmen Ejogo, Stephen Dorff, Scoot McNairy, and Ray Fisher co-starring. The show has taken home five Emmy Awards."
The Office                         ,8.9         ,2005–2013                                                        ,"Based on Ricky Gervais and Stephen Merchant’s hit BBC show, the American version starred Steve Carell as the well-meaning but painfully awkward boss of the Dunder-Mifflin paper company. The show turned Carell, who up until then was best known as a “Daily Show” correspondent, into a household name and led to a film career. The laugh-out-loud series received five of the 42 Emmy Award nominations it received following its eight-year run."
Fargo                              ,8.9         ,2014–present                                                     ,"Based on the Coen brothers film of the same name, “Fargo” is a darkly comedic anthology show about quirky characters in small towns. The series has received top marks from critics for its originality and dedication to the absurd. Since its inception, “Fargo” has won six Emmy Awards."
Gravity Falls                      ,8.9         ,2012–2016                                                        ,"The fictional town of Gravity Falls, Oregon, is the setting of this popular Disney television show by Alex Hirsch. Jason Ritter and Kristen Schaal provide the voices of twins who are dropped off at the home of their great uncle Grunkle Stan, which eventually leads to hijinks in the strange and supernatural town. The show ended after two seasons but is still beloved for its charm, animation style, and appeal to all ages. The show took home two Emmy Awards, including Outstanding Individual Achievement In Animation in 2015."
